"PlayerName","PlayerPosition","Team","eMIN","eFG","eFT","eThrPM","eREB","eAST","eSTL","eBLK","eTO","ePTS","FGA2014","FTA2014"
"Robbie Hummel","SF,PF","MIN",744,0.459302325581395,0.827586206896552,0.355555555555556,2.97777777777778,0.6,0.355555555555556,0.2,0.4,4.4,3.82222222222222,0.644444444444444
"Mike Miller","SG,SF","DEN",5.16666666666667,0.428571428571429,0.75,0.5,1,0.166666666666667,0.333333333333333,0,0.166666666666667,1.5,2.15094339622642,0.0754716981132075
"Alonzo Gee","SG,SF","NOR",14,0.421052631578947,1,0,2,0.5,0.833333333333333,0.166666666666667,1,2.83333333333333,3.44444444444444,1.42592592592593
"Jakarr Sampson","SF,PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E'Twaun Moore","PG,SG","CHI",18,0.463414634146341,0.6,0.5,2,1.125,0.25,0.25,0.75,5.25,2.48214285714286,0.357142857142857
"Thomas Robinson","PF","BKN",13,0.55,0.444444444444444,0,5.28571428571429,0.428571428571429,0.428571428571429,0.714285714285714,1.14285714285714,3.71428571428571,4.81481481481481,1.96296296296296
"Chris Johnson","SF,PF","UTA",3,0.4,0.5,0.25,0.75,0.25,0.25,0,0,1.5,5.31034482758621,0.551724137931034
"Willie Green","SG","ORL",953,0.38562091503268,0.823529411764706,0.807692307692308,1.51923076923077,1.30769230769231,0.5,0.0961538461538462,0.923076923076923,5.88461538461539,5.88461538461539,0.653846153846154
"Ish Smith","PG","NOR",27,0.327868852459016,0.333333333333333,0.666666666666667,3.66666666666667,7.5,1.66666666666667,0.166666666666667,1.83333333333333,7.66666666666667,6.67272727272727,1.03636363636364
"Raymond Felton","PG,SG","DAL",24.5,0.448979591836735,1,0.666666666666667,2,2.66666666666667,0.333333333333333,0,1.66666666666667,8.5,3.6551724137931,0.517241379310345
"Shabazz Napier","PG","ORL",8,0.357142857142857,0.75,0.285714285714286,1,1.42857142857143,0.142857142857143,0,0.571428571428571,2.14285714285714,4.47058823529412,1.09803921568627
"Kendall Marshall","PG","PHI",416,0.455445544554455,0.888888888888889,0.642857142857143,1,3.07142857142857,0.75,0,1.25,4.21428571428571,3.60714285714286,0.321428571428571
"Anthony Bennett","SF,PF","TOR",4.5,0.25,1,0,1.5,0,0.75,0,0.75,1,5.21052631578947,1.12280701754386
