"PlayerName","PlayerPosition","Team","eMIN","eFG","eFT","eThrPM","eREB","eAST","eSTL","eBLK","eTO","ePTS","FGA2014","FTA2014"
"Jarnell Stokes","PF","MEM",2,0.567567567567568,0.535714285714286,0,1,0,0,0,0,0,1.94736842105263,1.47368421052632
"Arinze Onuaku","PF","MIN",68,0.857142857142857,0.375,0,3.5,0.666666666666667,0.166666666666667,0.5,0.333333333333333,4.5,2.33333333333333,1.33333333333333
"Montrezl Harrell","PF","HOU",10.8571428571429,0.714285714285714,0.555555555555556,0,2,0.142857142857143,0.142857142857143,0.285714285714286,0.428571428571429,5,3,1.28571428571429
"C.J. Wilcox","SG","LAC",101,0.421052631578947,1,0.333333333333333,0.333333333333333,0.380952380952381,0.142857142857143,0.0476190476190476,0.476190476190476,1.95238095238095,1.80952380952381,0.0952380952380952
"Sean Kilpatrick","SG","NOR",71,0.35,1,1,1.5,1,0.75,0,0.5,5.5,5,1
"Brendan Haywood","C","CLE",120,0.466666666666667,0.538461538461538,0,1.31818181818182,0.0909090909090909,0.0909090909090909,0.454545454545455,0.454545454545455,1.59090909090909,1.36363636363636,0.590909090909091
"Raul Neto","PG","UTA",26.2,0.388,0.73,1.8,1.3,3.8,0.7,0.1,2.1,7.8,5.33333333333333,0.333333333333333
"Jeremy Tyler","C","HOU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Johnson","SG","DEN",262,0.346666666666667,0.68,0.178571428571429,1.39285714285714,0.392857142857143,0.25,0.107142857142857,0.678571428571429,2.64285714285714,2.67857142857143,0.892857142857143
"Xavier Henry","SG,SF","GS",83,0.230769230769231,0.583333333333333,0,0.444444444444444,0.333333333333333,0.333333333333333,0,0.333333333333333,2.22222222222222,1.44444444444444,2.66666666666667
"Lamar Patterson","SG","ATL",12.7142857142857,0.307692307692308,0.75,0.428571428571429,1,1.28571428571429,0.285714285714286,0,0.428571428571429,2.42857142857143,1.85714285714286,1.14285714285714
"Devin Booker","SG","PHO",0,0,0,0,0,0,0,0,0,0,3.5,0.75
"Dahntay Jones","SG,SF","BKN",123,0.285714285714286,0.818181818181818,0,0.333333333333333,0.0606060606060606,0.0909090909090909,0,0.0303030303030303,0.636363636363636,0.636363636363636,0.333333333333333
"Toure' Murry","SG","WSH",18,0.4,1,0,0.2,0.2,0.2,0,0.8,1.2,1,0.4
"Marcelo Huertas","PG","LAL",12.75,0.307692307692308,NA,0.25,1.5,2.5,0.25,0.25,0.75,2.25,3.25,0
"Nikola Jokic","C","DEN",16.1666666666667,0.551724137931034,0.7,0,3.66666666666667,0.5,0.5,0.333333333333333,1.16666666666667,6.5,4.83333333333333,1.66666666666667
"Richaun Holmes","PF","PHI",14.2857142857143,0.5,0.6,0.142857142857143,2.28571428571429,0.571428571428571,0.142857142857143,0.857142857142857,0.428571428571429,5.14285714285714,3.71428571428571,2.14285714285714
"Jamaal Franklin","SG,SF","DEN",13,0.5,NA,0.333333333333333,0.666666666666667,1,0,0.333333333333333,1,1,0.666666666666667,0
"Dionte Christmas","PG,SG","CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rashad Vaughn","SG","MIL",9,0.5,NA,0.75,1,0,0,0.25,0.5,3.75,3,0
"Damien Inglis","SF","MIL",6,0.2,1,0.25,1.25,0.25,0.5,0,0.5,1.25,1.25,0.5
"Justin Anderson","SF","DAL",6,0.285714285714286,NA,0.2,1.6,0.2,0.2,0.2,0.4,1.8,2.8,0
"Tim Frazier","PG","POR",3.66666666666667,0,0.476190476190476,0,0.666666666666667,0.333333333333333,0.333333333333333,0,0.333333333333333,0,5.54545454545455,1.90909090909091
"Grant Jerrett","PF","UTA",52,0.269230769230769,1,0.125,1.125,0.375,0.25,0.25,0.375,2,3.25,0.125
"Russ Smith","PG","MEM",4.75,0.272727272727273,0.6,0.25,0.75,0.5,0.25,0,0.75,2.5,2.08333333333333,1.08333333333333
"Salah Mejri","C","DAL",3.33333333333333,0,NA,0,1.33333333333333,0,0.333333333333333,0.333333333333333,0,0,0.333333333333333,0
"Chris Babb","SG","GS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bobby Portis","PF","CHI",10,0.6,NA,0,1,0.5,0.5,0.5,1,6,5,0
"Julyan Stone","SG,SF","OKC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Earl Barron","PF,C","ATL",143,0.307692307692308,0.5,0.125,1.75,0.3125,0.25,0.125,0.3125,2,2.4375,0.75
"Devyn Marble","SG,SF","ORL",209,0.318181818181818,0.3125,0.25,1.9375,1.0625,0.5625,0.125,0.5625,2.3125,2.75,1
"Pat Connaughton","SG,SF","POR",3.5,0.333333333333333,1,0.5,0,0,0,0,0.5,2.5,1.5,1
"Anthony Brown","SF","LAL",4,0.5,1,1,0,0,0,0,0,5,2,2
"Cameron Payne","PG","OKC",3,0,NA,0,0,1.5,0.5,0,0,0,0.5,0
"Tony Mitchell","SF,PF","GS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sasha Kaun","C","CLE",3.5,NA,NA,0,0.5,0.5,0.5,0.5,0.5,0,0,0
"Jordan Mickey","PF","BOS",2.5,0.5,1,0,1.5,0.5,0,0.5,0,2.5,1,1.5
"Sonny Weems","SG,SF","PHO",9.83333333333333,0.2,1,0,2.16666666666667,0.666666666666667,0.333333333333333,0,1.33333333333333,1.16666666666667,1.66666666666667,0.5
"Christian Wood","PF,C","PHI",6.5,0.375,0.666666666666667,0.166666666666667,1.66666666666667,0.166666666666667,0.166666666666667,0,0.166666666666667,2.83333333333333,2.66666666666667,1
"Cameron Bairstow","PF,C","CHI",5,0.25,0.8,0,1.5,0,0,0,0,1,0.777777777777778,0.277777777777778
"Sam Dekker","SF","HOU",2,NA,NA,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0
"Tibor Pleiss","C","UTA",1.5,1,NA,0,0.5,0,0,0,0,1,0.5,0
"Jared Cunningham","PG,SG","CLE",11.8571428571429,0.45,0.5,0.285714285714286,0.571428571428571,0.571428571428571,0.142857142857143,0.142857142857143,0.285714285714286,3.71428571428571,1.73684210526316,0.684210526315789
"Adonis Thomas","PF","DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"D.J. Stephens","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Boban Marjanovic","C",NA,3.25,0.444444444444444,0.75,0,1.5,0.25,0,0,0.5,2.75,2.25,1
"Eric Moreland","PF","SAC",3.66666666666667,0.5,0,0,1,0,0,0.333333333333333,0,0.666666666666667,0.333333333333333,0
"Josh Powell","PF,C","MIL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Norman Powell","SG","TOR",3.33333333333333,0.166666666666667,NA,0,0.666666666666667,0,0,0,0,0.666666666666667,2,0
"Lucas Nogueira","C","TOR",3,1,1,0,0,0,1,0,0,3,1.33333333333333,0.666666666666667
"Jack Cooley","PF,C","CLE",86,0.409090909090909,0.428571428571429,0,1.5625,0.0625,0.375,0.1875,0.1875,1.6875,1.375,1.3125
"Greg Whittington","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corey Webster","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Branden Dawson","SF,PF","LAC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juan Vaulet","SF","BKN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Youssou Ndoye","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Olivier Hanlan","PG","UTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Deshaun Thomas","SF,PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyus Jones","PG","MIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marcus Eriksson","SG","ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Daniels","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Willie Reed","SF,PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Charlie Westbrook","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jamil Wilson","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cliff Alexander","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dakari Johnson","C","OKC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joel Embiid","C","PHI",0,0,0,0,0,0,0,0,0,0,NA,NA
"Michael Cobbins","SF","OKC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corey Walden","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Larry Nance Jr.","PF","LAL",16.5,0.5,0.5,0,5.5,0,0,0,1,4,3,2
"Deonte Burton","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cady Lalanne","PF","SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ryan Boatright","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Alex Stepheson","SF,PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Travis Trice","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eric Griffin","SF","DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dez Wells","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Will Cummings","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Corey Hawkins","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tyler Harvey","SG","ORL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Huestis","SF","OKC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Maurice Ndour","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kelly Oubre Jr.","SF","WSH",5.33333333333333,0.333333333333333,0.333333333333333,0,0.666666666666667,0.666666666666667,0,0,0.333333333333333,2.33333333333333,3,1
"Eric Atkins","PG","UTA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Satnam Singh","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tu Holloway","PG,SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Keith Benson","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Denzel Livingston","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marcus Landry","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jarell Martin","PF","MEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Justin Harper","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marcus Simmons","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jarrid Famous","PF,C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jason Washburn","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bryce Dejean-Jones","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dan Nwaelele","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J.J. O'Brien","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cristiano Felicio","C",NA,1,NA,NA,0,0,1,0,0,0,0,0,0
"Jordan McRae","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kadeem Jack","PF,C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Coty Clarke","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brandon Ashley","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jaron Johnson","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ronald Roberts","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Damien Wilkins","SG,SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tre Kelley","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Keifer Sykes","PG,SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Shannon Scott","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Luka Mitrovic","PF","PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Terrico White","PG,SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sir'Dominic Pointer","SF","CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Frazier II","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris Walker","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oleksiy Pecherov","PF,C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonathan Holmes","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Juwan Staten","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aaron Harrison","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sampson Carter","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Matt Janning","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nikoloz Tskitishvili","SF,PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Aaron White","PF","WSH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mirza Begic","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darrun Hilliard","SG","DET",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Edgar Sosa","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Qualls","PG,SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Levi Randolph","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marshall Henderson","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Stefhon Hannah","SG,SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dimitrios Agravanis","PF","ATL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Yakhouba Diawara","SG,SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Joshua Smith","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michale Kyser","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DeQuan Jones","SG,SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan Sibert","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lazeric Jones","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Bo McCalebb","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"E.J. Singler","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jon Horford","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Talib Zanna","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Scottie Wilbekin","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Dunigan","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arsalan Kazemi","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Thanasis Antetokounmpo","SF","NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Arturas Gudaitis","C","PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guillermo Hernangomez","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Keith Appling","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Sam Thompson","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Quinn Cook","PG,SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Duje Dukan","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vince Hunter","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Josh Richardson","SG","MIA",7,0,NA,0,0,0,0,0,1,0,1,0
"Devin Sweetney","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Daniel Diez","SF","POR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Briante Weber","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Treveon Graham","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Terran Petteway","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kyle Casey","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kevon Looney","PF","GS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jaleel Roberts","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rakeem Christmas","PF","IND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Axel Toupane","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jarell Eddie","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andrew Harrison","PG","MEM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jordan Bachynski","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Darion Atkins","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Wiggins","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jake Anderson","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chris McCullough","PF","BKN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Wesley Saunders","SG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Malcolm Miller","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DaJuan Summers","SF,PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nnanna Egwu","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jonathon Simmons","SF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Cedi Osman","SF","CLE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"J.P. Tokoto","SF","PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Melvin Ejim","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nick Minnerath","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kleon Penn","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Michael Holyfield","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"C.J. Fair","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Omari Johnson","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pierre Jackson","PG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Julian Washburn","SG,SF","SA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Robert Upshaw","C",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Nikola Radicevic","PG","DEN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"R.J. Hunter","SG","BOS",9,0.2,NA,0,0.5,0,0,0,0.5,1,2.5,0
"David Stockton","PG","SAC",33,0.333333333333333,0.5,0.333333333333333,0.666666666666667,3,0.666666666666667,0,1.33333333333333,2.66666666666667,2,2
"Walter Tavares","C","ATL",1,NA,0.5,0,0.5,0,0,0,0,0.5,0,1
"Joe Young","SG","IND",2,NA,NA,0,0,0,0,0,0.5,0,0,0
"Bruno Caboclo","SF","TOR",24,0.333333333333333,NA,0.25,0.25,0,0,0.125,0.5,1.25,1.5,0
"Luis Montero","SF","POR",3,0.5,NA,0.5,0.5,0,0,0,0.5,1.5,1,0
"Delon Wright","PG","TOR",2.5,0,NA,0,0.5,0,0,0,0.5,0,1,0
"Johnny O'Bryant","PF",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Terry Rozier","PG","BOS",9,0.142857142857143,NA,0.333333333333333,2.33333333333333,1,0,0,0.666666666666667,1.66666666666667,4.66666666666667,0
"Vander Blue","PG","LAL",74,0.3,0.4,1,4.5,4,1.5,0,3,11,15,2.5
"Trey Lyles","PF","UTA",6.33333333333333,0.153846153846154,0.5,0,1.66666666666667,0.333333333333333,0.166666666666667,0,0.333333333333333,1,2.16666666666667,0.666666666666667
"Dante Exum","PG","UTA",1821,0.348557692307692,0.625,1.01219512195122,1.59756097560976,2.41463414634146,0.5,0.170731707317073,1.4390243902439,4.79268292682927,5.07317073170732,0.390243902439024
